Rank,Player,type,action,MIN,FGM/FGA,FG%,FTM/FTA,FT%,3PM,REB,AST,STL,BLK,PTS
448,Doug McDermottSacSF,,,17.3,2.8/6.2,0.448,0.4/0.6,0.73,1.7,1.5,1.2,0.2,0.1,7.7
451,"Jeremiah Robinson-EarlNOPF, C",,,12.4,1.6/3.6,0.449,0.5/0.6,0.763,0.5,2.9,0.7,0.4,0.2,4.2
452,Terrence Shannon Jr.MinSG,,,11.1,2.2/4.8,0.45,1.1/1.4,0.814,0.6,2.7,0.4,0.6,0.4,6.0
453,Garrett TempleOTorSG,,,13.8,1.4/3.7,0.377,0.4/0.6,0.725,0.7,1.8,1.0,0.6,0.2,3.9
454,Max ChristieDalSG,,,13.8,1.4/3.4,0.424,0.5/0.6,0.78,0.6,2.1,0.8,0.3,0.2,4.0
455,Shake MiltonLALSG,,,15.5,2.2/5.1,0.435,1.0/1.2,0.831,0.5,1.9,1.9,0.4,0.2,5.9
457,Jalen WilsonBknPF,,,15.5,1.8/4.2,0.423,0.9/1.1,0.827,0.5,3.1,1.0,0.3,0.1,5.0
460,"P.J. TuckerNYPF, SF",,,21.1,1.2/2.8,0.43,0.3/0.3,0.842,0.6,3.6,0.9,0.6,0.2,3.3
462,"Jalen PickettDenSG, PG",,,6.1,0.8/1.8,0.438,0.1/0.2,0.75,0.5,0.7,1.1,0.2,0.0,2.2
464,Ben SheppardIndSG,,,14.3,1.6/4.0,0.405,0.5/0.5,0.889,0.9,1.6,0.9,0.6,0.0,4.6
466,"Andre Jackson Jr.MilSG, SF",,,10.1,0.8/1.8,0.455,0.1/0.2,0.769,0.3,2.0,0.9,0.3,0.1,2.1
468,PJ DozierFAPG,,,10.0,1.1/3.3,0.336,0.2/0.3,0.714,0.4,1.8,1.0,0.5,0.2,2.8
469,Caleb HoustanOrlSF,,,14.2,1.3/3.5,0.382,0.3/0.4,0.815,1.2,1.5,0.5,0.3,0.1,4.2
470,Jalen Hood-SchifinoFASG,,,11.3,2.0/4.7,0.425,1.5/2.1,0.695,0.5,1.3,0.8,0.3,0.2,6.0
471,Kobe BrownLACPF,,,8.9,0.9/2.0,0.43,0.0/0.0,0.659,0.4,1.4,0.6,0.3,0.1,2.1
472,Maxwell LewisBknSF,,,8.3,0.7/1.7,0.422,0.1/0.2,0.692,0.2,0.3,0.5,0.2,0.1,1.8
473,Hunter TysonDenSF,,,6.2,1.1/2.6,0.404,0.0/0.0,0.0,0.5,1.2,0.3,0.1,0.0,2.6
474,Jordan WalshBosSF,,,9.2,0.7/1.7,0.402,0.1/0.2,0.5,0.2,2.2,0.6,0.6,0.1,1.7
476,Colby JonesWshSG,,,6.9,1.0/2.6,0.396,0.2/0.4,0.56,0.1,1.5,0.7,0.3,0.2,2.4
478,"Jett HowardOrlSF, SG",,,3.6,0.6/1.7,0.33,0.1/0.2,0.538,0.4,0.4,0.3,0.1,0.1,1.6
479,Leonard MillerMinSF,,,3.2,0.6/1.2,0.479,0.1/0.1,0.667,0.1,1.2,0.5,0.1,0.1,1.3
480,Chris LivingstonMilSF,,,4.3,0.5/1.1,0.464,0.2/0.2,0.769,0.1,1.0,0.2,0.1,0.0,1.2
482,Seth LundyOLACSG,,,5.8,0.4/1.9,0.236,0.3/0.4,0.741,0.3,0.8,0.0,0.0,0.0,1.5
483,Jordan MillerLACSF,,,3.5,0.5/1.1,0.464,0.2/0.3,0.8,0.1,0.6,0.0,0.0,0.0,1.4
485,Rudy GayGSPF,,,18.0,2.7/6.5,0.408,1.0/1.3,0.792,1.1,4.1,1.0,0.4,0.3,7.5
489,Cory JosephOrlPG,,,18.1,2.0/4.7,0.421,0.8/1.0,0.814,0.9,1.7,2.9,0.4,0.2,5.7
496,JaMychal GreenGSPF,,,15.8,2.4/4.8,0.494,1.1/1.3,0.847,0.5,4.1,0.9,0.6,0.4,6.4
498,Doug McDermottSacSF,,,17.3,2.8/6.2,0.448,0.4/0.6,0.73,1.7,1.5,1.2,0.2,0.1,7.7
501,"Jeremiah Robinson-EarlNOPF, C",,,12.4,1.6/3.6,0.449,0.5/0.6,0.763,0.5,2.9,0.7,0.4,0.2,4.2
502,Terrence Shannon Jr.MinSG,,,11.1,2.2/4.8,0.45,1.1/1.4,0.814,0.6,2.7,0.4,0.6,0.4,6.0
503,Garrett TempleOTorSG,,,13.8,1.4/3.7,0.377,0.4/0.6,0.725,0.7,1.8,1.0,0.6,0.2,3.9
504,Max ChristieDalSG,,,13.8,1.4/3.4,0.424,0.5/0.6,0.78,0.6,2.1,0.8,0.3,0.2,4.0
505,Shake MiltonLALSG,,,15.5,2.2/5.1,0.435,1.0/1.2,0.831,0.5,1.9,1.9,0.4,0.2,5.9
507,Jalen WilsonBknPF,,,15.5,1.8/4.2,0.423,0.9/1.1,0.827,0.5,3.1,1.0,0.3,0.1,5.0
510,"P.J. TuckerNYPF, SF",,,21.1,1.2/2.8,0.43,0.3/0.3,0.842,0.6,3.6,0.9,0.6,0.2,3.3
512,"Jalen PickettDenSG, PG",,,6.1,0.8/1.8,0.438,0.1/0.2,0.75,0.5,0.7,1.1,0.2,0.0,2.2
514,Ben SheppardIndSG,,,14.3,1.6/4.0,0.405,0.5/0.5,0.889,0.9,1.6,0.9,0.6,0.0,4.6
516,"Andre Jackson Jr.MilSG, SF",,,10.1,0.8/1.8,0.455,0.1/0.2,0.769,0.3,2.0,0.9,0.3,0.1,2.1
518,PJ DozierFAPG,,,10.0,1.1/3.3,0.336,0.2/0.3,0.714,0.4,1.8,1.0,0.5,0.2,2.8
519,Caleb HoustanOrlSF,,,14.2,1.3/3.5,0.382,0.3/0.4,0.815,1.2,1.5,0.5,0.3,0.1,4.2
520,Jalen Hood-SchifinoFASG,,,11.3,2.0/4.7,0.425,1.5/2.1,0.695,0.5,1.3,0.8,0.3,0.2,6.0
521,Kobe BrownLACPF,,,8.9,0.9/2.0,0.43,0.0/0.0,0.659,0.4,1.4,0.6,0.3,0.1,2.1
522,Maxwell LewisBknSF,,,8.3,0.7/1.7,0.422,0.1/0.2,0.692,0.2,0.3,0.5,0.2,0.1,1.8
523,Hunter TysonDenSF,,,6.2,1.1/2.6,0.404,0.0/0.0,0.0,0.5,1.2,0.3,0.1,0.0,2.6
524,Jordan WalshBosSF,,,9.2,0.7/1.7,0.402,0.1/0.2,0.5,0.2,2.2,0.6,0.6,0.1,1.7
526,Colby JonesWshSG,,,6.9,1.0/2.6,0.396,0.2/0.4,0.56,0.1,1.5,0.7,0.3,0.2,2.4
528,"Jett HowardOrlSF, SG",,,3.6,0.6/1.7,0.33,0.1/0.2,0.538,0.4,0.4,0.3,0.1,0.1,1.6
529,Leonard MillerMinSF,,,3.2,0.6/1.2,0.479,0.1/0.1,0.667,0.1,1.2,0.5,0.1,0.1,1.3
530,Chris LivingstonMilSF,,,4.3,0.5/1.1,0.464,0.2/0.2,0.769,0.1,1.0,0.2,0.1,0.0,1.2
532,Seth LundyOLACSG,,,5.8,0.4/1.9,0.236,0.3/0.4,0.741,0.3,0.8,0.0,0.0,0.0,1.5
533,Jordan MillerLACSF,,,3.5,0.5/1.1,0.464,0.2/0.3,0.8,0.1,0.6,0.0,0.0,0.0,1.4
535,Rudy GayGSPF,,,18.0,2.7/6.5,0.408,1.0/1.3,0.792,1.1,4.1,1.0,0.4,0.3,7.5
539,Cory JosephOrlPG,,,18.1,2.0/4.7,0.421,0.8/1.0,0.814,0.9,1.7,2.9,0.4,0.2,5.7
546,JaMychal GreenGSPF,,,15.8,2.4/4.8,0.494,1.1/1.3,0.847,0.5,4.1,0.9,0.6,0.4,6.4
548,Doug McDermottSacSF,,,17.3,2.8/6.2,0.448,0.4/0.6,0.73,1.7,1.5,1.2,0.2,0.1,7.7
